Condition,Stat,Test,Data
Good Condition,Lower,CM,13.534883720930232
Good Condition,Mean,CM,14.317968604651163
Good Condition,Upper,CM,15.116279069767442
Moderarely Degraded,Lower,CM,12.52808988764045
Moderarely Degraded,Mean,CM,13.326844943820225
Moderarely Degraded,Upper,CM,14.112359550561798
Severely Degraded,Lower,CM,9.053191489361701
Severely Degraded,Mean,CM,9.847206914893617
Severely Degraded,Upper,CM,10.648936170212766
Good Condition,Lower,IH,13.093023255813954
Good Condition,Mean,IH,13.909444186046512
Good Condition,Upper,IH,14.69767441860465
Moderarely Degraded,Lower,IH,11.651685393258427
Moderarely Degraded,Mean,IH,12.228381460674157
Moderarely Degraded,Upper,IH,12.797752808988765
Severely Degraded,Lower,IH,9.829787234042554
Severely Degraded,Mean,IH,10.475009042553191
Severely Degraded,Upper,IH,11.127659574468085
Good Condition,Lower,P,14.906976744186046
Good Condition,Mean,P,15.669275581395349
Good Condition,Upper,P,16.3953488372093
Moderarely Degraded,Lower,P,11.97752808988764
Moderarely Degraded,Mean,P,12.668538764044945
Moderarely Degraded,Upper,P,13.359550561797754
Severely Degraded,Lower,P,9.840425531914894
Severely Degraded,Mean,P,10.545319680851064
Severely Degraded,Upper,P,11.25531914893617
Good Condition,Lower,BSL,6.8604651162790695
Good Condition,Mean,BSL,7.376887209302326
Good Condition,Upper,BSL,7.883720930232558
Moderarely Degraded,Lower,BSL,7.966292134831461
Moderarely Degraded,Mean,BSL,8.236291011235956
Moderarely Degraded,Upper,BSL,8.50561797752809
Severely Degraded,Lower,BSL,7.1063829787234045
Severely Degraded,Mean,BSL,7.455535106382979
Severely Degraded,Upper,BSL,7.797872340425532
Good Condition,Lower,BSR,6.511627906976744
Good Condition,Mean,BSR,7.047852325581395
Good Condition,Upper,BSR,7.604651162790698
Moderarely Degraded,Lower,BSR,7.741573033707865
Moderarely Degraded,Mean,BSR,8.063970224719101
Moderarely Degraded,Upper,BSR,8.370786516853933
Severely Degraded,Lower,BSR,7.276595744680851
Severely Degraded,Mean,BSR,7.618351595744681
Severely Degraded,Upper,BSR,7.946808510638298
Good Condition,Lower,BVL,6.837209302325581
Good Condition,Mean,BVL,7.114124418604651
Good Condition,Upper,BVL,7.395348837209302
Moderarely Degraded,Lower,BVL,6.224719101123595
Moderarely Degraded,Mean,BVL,6.472366292134831
Moderarely Degraded,Upper,BVL,6.719101123595506
Severely Degraded,Lower,BVL,5.680851063829787
Severely Degraded,Mean,BVL,5.914713829787234
Severely Degraded,Upper,BVL,6.148936170212766
Good Condition,Lower,BVR,6.6976744186046515
Good Condition,Mean,BVR,6.977766279069767
Good Condition,Upper,BVR,7.27906976744186
Moderarely Degraded,Lower,BVR,6.168539325842697
Moderarely Degraded,Mean,BVR,6.428970786516854
Moderarely Degraded,Upper,BVR,6.685393258426966
Severely Degraded,Lower,BVR,5.585106382978723
Severely Degraded,Mean,BVR,5.849317021276596
Severely Degraded,Upper,BVR,6.1063829787234045
Good Condition,Lower,S,14.55813953488372
Good Condition,Mean,S,15.281470930232558
Good Condition,Upper,S,15.953488372093023
Moderarely Degraded,Lower,S,12.47191011235955
Moderarely Degraded,Mean,S,13.32917584269663
Moderarely Degraded,Upper,S,14.157303370786517
Severely Degraded,Lower,S,10.26595744680851
Severely Degraded,Mean,S,11.198189893617021
Severely Degraded,Upper,S,12.117021276595745
Good Condition,Lower,RZL,8.534883720930232
Good Condition,Mean,RZL,9.047994186046513
Good Condition,Upper,RZL,9.534883720930232
Moderarely Degraded,Lower,RZL,6.629213483146067
Moderarely Degraded,Mean,RZL,7.160277528089888
Moderarely Degraded,Upper,RZL,7.685393258426966
Severely Degraded,Lower,RZL,4.808510638297872
Severely Degraded,Mean,RZL,5.334319680851064
Severely Degraded,Upper,RZL,5.861702127659575
Good Condition,Lower,RZR,8.209302325581396
Good Condition,Mean,RZR,8.748238372093024
Good Condition,Upper,RZR,9.255813953488373
Moderarely Degraded,Lower,RZR,6.112359550561798
Moderarely Degraded,Mean,RZR,6.661606741573034
Moderarely Degraded,Upper,RZR,7.202247191011236
Severely Degraded,Lower,RZR,4.925531914893617
Severely Degraded,Mean,RZR,5.461678723404256
Severely Degraded,Upper,RZR,5.98936170212766
